mode,N,threads,run,seconds
serial,160000,1,6,36.269555
serial,160000,1,7,36.456806
serial,160000,1,8,36.498507
serial,160000,1,9,36.409619
serial,160000,1,10,36.598786
omp_indivisible,160000,1,1,38.018511
omp_indivisible,160000,1,2,37.826014
omp_indivisible,160000,1,3,37.792400
omp_indivisible,160000,1,4,37.837586
omp_indivisible,160000,1,5,37.727107
omp_indivisible,160000,1,6,37.725573
omp_indivisible,160000,1,7,37.737125
omp_indivisible,160000,1,8,37.973907
omp_indivisible,160000,1,9,37.706129
omp_indivisible,160000,1,10,37.795687
omp_indivisible,160000,4,1,15.219927
omp_indivisible,160000,4,2,15.394798
omp_indivisible,160000,4,3,15.462150
omp_indivisible,160000,4,4,15.572748
omp_indivisible,160000,4,5,15.745114
omp_indivisible,160000,4,6,15.672141
omp_indivisible,160000,4,7,15.629079
omp_indivisible,160000,4,8,15.673208
omp_indivisible,160000,4,9,15.979848
omp_indivisible,160000,4,10,16.187980
omp_indivisible,160000,8,1,13.358280
omp_indivisible,160000,8,2,13.237083
omp_indivisible,160000,8,3,13.139946
omp_indivisible,160000,8,4,13.208252
omp_indivisible,160000,8,5,13.441570
omp_indivisible,160000,8,6,13.835080
omp_indivisible,160000,8,7,14.222136
omp_indivisible,160000,8,8,14.403655
omp_indivisible,160000,8,9,14.417551
omp_indivisible,160000,8,10,14.529891
omp_indivisible,160000,16,1,14.254485
omp_indivisible,160000,16,2,14.394134
omp_indivisible,160000,16,3,14.156516
omp_indivisible,160000,16,4,14.213616
omp_indivisible,160000,16,5,14.085180
omp_indivisible,160000,16,6,14.128971
omp_indivisible,160000,16,7,14.062158
omp_indivisible,160000,16,8,13.987566
omp_indivisible,160000,16,9,13.843514
omp_indivisible,160000,16,10,13.849858
omp_cuadrantes,160000,1,1,37.880316
omp_cuadrantes,160000,1,2,37.765060
omp_cuadrantes,160000,1,3,37.615337
omp_cuadrantes,160000,1,4,37.677267
omp_cuadrantes,160000,1,5,37.807597
omp_cuadrantes,160000,1,6,37.701536
omp_cuadrantes,160000,1,7,37.731001
omp_cuadrantes,160000,1,8,37.634004
omp_cuadrantes,160000,1,9,37.677125
omp_cuadrantes,160000,1,10,37.811912
omp_cuadrantes,160000,4,1,15.248414
omp_cuadrantes,160000,4,2,15.758193
omp_cuadrantes,160000,4,3,16.483388
omp_cuadrantes,160000,4,4,17.102634
omp_cuadrantes,160000,4,5,17.454478
omp_cuadrantes,160000,4,6,16.629721
omp_cuadrantes,160000,4,7,16.723452
omp_cuadrantes,160000,4,8,16.819682
omp_cuadrantes,160000,4,9,16.420174
omp_cuadrantes,160000,4,10,16.525958
omp_cuadrantes,160000,8,1,13.747732
omp_cuadrantes,160000,8,2,14.025346
omp_cuadrantes,160000,8,3,14.014342
omp_cuadrantes,160000,8,4,13.860812
omp_cuadrantes,160000,8,5,14.050442
omp_cuadrantes,160000,8,6,14.500362
omp_cuadrantes,160000,8,7,13.457558
omp_cuadrantes,160000,8,8,13.766492
omp_cuadrantes,160000,8,9,16.420939
omp_cuadrantes,160000,8,10,14.463158
omp_cuadrantes,160000,16,1,13.586074
omp_cuadrantes,160000,16,2,13.517667
omp_cuadrantes,160000,16,3,13.660503
omp_cuadrantes,160000,16,4,13.828643
omp_cuadrantes,160000,16,5,13.882764
omp_cuadrantes,160000,16,6,13.805917
omp_cuadrantes,160000,16,7,13.762688
omp_cuadrantes,160000,16,8,13.565482
omp_cuadrantes,160000,16,9,13.343710
omp_cuadrantes,160000,16,10,13.286690
serial,180000,1,1,46.979930
serial,180000,1,2,46.398214
serial,180000,1,3,47.403430
serial,180000,1,4,47.463405
serial,180000,1,5,47.041631
serial,180000,1,6,47.462559
serial,180000,1,7,47.390896
serial,180000,1,8,47.505247
serial,180000,1,9,47.726420
serial,180000,1,10,47.798307
omp_indivisible,180000,1,1,49.626231
omp_indivisible,180000,1,2,49.508393
omp_indivisible,180000,1,3,49.298578
omp_indivisible,180000,1,4,49.331426
omp_indivisible,180000,1,5,49.267996
omp_indivisible,180000,1,6,49.163822
omp_indivisible,180000,1,7,49.354649
omp_indivisible,180000,1,8,50.703716
omp_indivisible,180000,1,9,49.366001
omp_indivisible,180000,1,10,50.404440
omp_indivisible,180000,4,1,20.678767
omp_indivisible,180000,4,2,20.489040
omp_indivisible,180000,4,3,20.478895
omp_indivisible,180000,4,4,21.283959
omp_indivisible,180000,4,5,20.686765
omp_indivisible,180000,4,6,21.033171
omp_indivisible,180000,4,7,22.142228
omp_indivisible,180000,4,8,22.793312
omp_indivisible,180000,4,9,22.996143
omp_indivisible,180000,4,10,22.873184
omp_indivisible,180000,8,1,18.945260
omp_indivisible,180000,8,2,19.304103
omp_indivisible,180000,8,3,19.008340
omp_indivisible,180000,8,4,18.833336
omp_indivisible,180000,8,5,19.145334
omp_indivisible,180000,8,6,19.504383
omp_indivisible,180000,8,7,19.073839
omp_indivisible,180000,8,8,19.315472
